Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Gradient Boosting Baseline,0.84,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.787878787878788
Gradient Boosting + SMOTE,0.8,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.7575757575757576
Gradient Boosting + SMOTE,0.8,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.7575757575757576
