Threshold,Accuracy,Precision,Recall,F1-score
0.1,0.35,0.1875,1.0,0.3157894736842105
0.15000000000000002,0.35,0.1875,1.0,0.3157894736842105
0.20000000000000004,0.4,0.2,1.0,0.3333333333333333
0.25000000000000006,0.5,0.23076923076923078,1.0,0.375
0.30000000000000004,0.65,0.25,0.6666666666666666,0.36363636363636365
0.3500000000000001,0.7,0.2857142857142857,0.6666666666666666,0.4
0.40000000000000013,0.7,0.2,0.3333333333333333,0.25
0.45000000000000007,0.8,0.3333333333333333,0.3333333333333333,0.3333333333333333
0.5000000000000001,0.8,0.3333333333333333,0.3333333333333333,0.3333333333333333
0.5500000000000002,0.75,0.0,0.0,0.0
0.6000000000000002,0.8,0.0,0.0,0.0
0.6500000000000001,0.85,0.0,0.0,0.0
0.7000000000000002,0.85,0.0,0.0,0.0
0.7500000000000002,0.85,0.0,0.0,0.0
0.8000000000000002,0.85,0.0,0.0,0.0
0.8500000000000002,0.85,0.0,0.0,0.0
