Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,Threshold
Random Forest + SMOTE,0.8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7254901960784313,
Random Forest + SMOTE + Threshold Optimization,0.5,0.23076923076923078,1.0,0.375,0.7254901960784313,0.25000000000000006
