Feature,Mean_Absolute_SHAP_Value
ICULOS_max,1.6115795520567915
HR_min,1.5055312750048935
Temp_mean,1.2554636126916854
HR_mean,0.8811300770506264
SBP_mean,0.8214503486294301
Age_first,0.8181413445781917
MAP_mean,0.6007322595044972
Gender_first,0.20383337975554167
O2Sat_min,0.20249178471080964
MAP_min,0.13709511651135983
Resp_max,0.13497748906984922
HR_max,0.09716371855363247
Temp_max,0.057505367019400004
O2Sat_mean,0.05519002757519483
Resp_mean,0.04654520764425398
SBP_min,0.022604634037613872
