Feature,Importance
HR_min,0.2841477122001988
ICULOS_max,0.17075082229327251
O2Sat_min,0.09717330853083722
HR_mean,0.09712093501801544
Temp_mean,0.08601721900299766
SBP_mean,0.0803000342457577
MAP_mean,0.07695339201975931
Age_first,0.028817035141781692
Resp_max,0.023986700495304627
Temp_max,0.02206930832623215
MAP_min,0.011063705608744317
HR_max,0.008292304430155835
O2Sat_mean,0.007237339842947704
Resp_mean,0.004939656406680082
Gender_first,0.0010632810920178791
SBP_min,6.724534529694605e-05
