,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Improved Logistic Regression,0.5,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.47058823529411764
Random Forest,0.85,0.0,0.0,0.0,0.7254901960784313
